iter	Passed	Remaining
388	1402	2202
389	1405	2198
390	1408	2194
391	1412	2190
392	1415	2186
393	1419	2182
394	1422	2178
395	1425	2174
396	1429	2170
397	1432	2166
398	1436	2163
399	1439	2158
400	1442	2155
401	1446	2151
402	1449	2147
403	1452	2143
404	1456	2139
405	1459	2135
406	1462	2131
407	1465	2126
408	1469	2122
409	1472	2118
410	1475	2115
411	1479	2111
412	1482	2107
413	1485	2103
414	1489	2099
415	1492	2095
416	1495	2091
417	1499	2087
418	1502	2083
419	1505	2079
420	1509	2075
421	1512	2071
422	1516	2068
423	1519	2064
424	1523	2060
425	1526	2056
426	1529	2052
427	1532	2048
428	1536	2044
429	1539	2040
430	1542	2036
431	1546	2032
432	1549	2029
433	1552	2025
434	1556	2021
435	1559	2017
436	1563	2013
437	1566	2009
438	1569	2005
439	1573	2002
440	1576	1998
441	1579	1994
442	1583	1990
443	1587	1987
444	1590	1983
445	1594	1980
446	1597	1976
447	1600	1972
448	1603	1968
449	1607	1964
450	1610	1960
451	1613	1956
452	1616	1952
453	1620	1949
454	1624	1945
455	1627	1942
456	1631	1938
457	1635	1935
458	1639	1932
459	1643	1928
460	1646	1924
461	1649	1921
462	1653	1917
463	1656	1913
464	1660	1909
465	1663	1906
466	1666	1902
467	1670	1898
468	1673	1894
469	1676	1890
470	1679	1886
471	1683	1883
472	1686	1879
473	1690	1875
474	1693	1872
475	1697	1868
476	1700	1864
477	1704	1861
478	1707	1857
479	1710	1853
480	1714	1850
481	1718	1846
482	1721	1842
483	1725	1839
484	1728	1835
485	1732	1832
486	1735	1828
487	1738	1824
488	1742	1820
489	1745	1817
490	1749	1813
491	1753	1810
492	1756	1806
493	1760	1802
494	1763	1799
495	1767	1795
496	1770	1791
497	1774	1788
498	1777	1784
499	1781	1781
500	1784	1777
501	1788	1774
502	1792	1771
503	1796	1767
504	1799	1764
505	1803	1760
506	1807	1757
507	1810	1753
508	1814	1750
509	1817	1746
510	1821	1742
511	1824	1739
512	1828	1735
513	1831	1732
514	1835	1728
515	1838	1724
516	1842	1720
517	1845	1717
518	1848	1713
519	1852	1709
520	1855	1706
521	1859	1702
522	1862	1698
523	1865	1694
524	1869	1691
525	1872	1687
526	1875	1683
527	1879	1680
528	1882	1676
529	1886	1672
530	1889	1669
531	1893	1665
532	1896	1662
533	1900	1658
534	1903	1654
535	1907	1650
536	1910	1647
537	1913	1643
538	1917	1639
539	1920	1636
540	1924	1632
541	1927	1629
542	1931	1625
543	1934	1621
544	1938	1618
545	1942	1614
546	1945	1611
547	1948	1607
548	1952	1603
549	1955	1600
550	1959	1596
551	1962	1592
552	1965	1589
553	1969	1585
554	1972	1581
555	1976	1578
556	1979	1574
557	1983	1571
558	1986	1567
559	1990	1563
560	1993	1560
561	1997	1556
562	2000	1553
563	2004	1549
564	2007	1545
565	2011	1542
566	2015	1538
567	2018	1535
568	2022	1531
569	2025	1528
570	2029	1524
571	2032	1520
572	2036	1517
573	2040	1514
574	2043	1510
575	2047	1507
576	2050	1503
577	2054	1499
578	2057	1496
579	2061	1492
580	2064	1488
581	2067	1485
582	2071	1481
583	2074	1477
584	2078	1474
585	2081	1470
586	2085	1467
587	2088	1463
588	2091	1459
589	2095	1456
590	2098	1452
591	2102	1448
592	2105	1445
593	2109	1441
594	2112	1438
595	2116	1434
596	2120	1431
597	2123	1427
598	2127	1423
599	2130	1420
600	2134	1416
601	2137	1413
602	2141	1409
603	2144	1406
604	2148	1402
605	2151	1399
606	2155	1395
607	2158	1391
608	2162	1388
609	2165	1384
610	2168	1380
611	2172	1377
612	2175	1373
613	2179	1369
614	2182	1366
615	2186	1362
616	2189	1359
617	2193	1355
618	2196	1352
619	2200	1348
620	2203	1344
621	2206	1341
622	2210	1337
623	2214	1334
624	2217	1330
625	2221	1327
626	2224	1323
627	2228	1319
628	2231	1316
629	2234	1312
630	2238	1309
631	2242	1305
632	2245	1301
633	2249	1298
634	2252	1294
635	2256	1291
636	2259	1287
637	2263	1284
638	2266	1280
639	2269	1276
640	2273	1273
641	2276	1269
642	2279	1265
643	2283	1262
644	2286	1258
645	2290	1255
646	2294	1251
647	2297	1248
648	2301	1244
649	2304	1240
650	2308	1237
651	2311	1233
652	2314	1230
653	2318	1226
654	2322	1223
655	2325	1219
656	2329	1216
657	2333	1212
658	2336	1208
659	2339	1205
660	2343	1201
661	2346	1198
662	2349	1194
663	2353	1190
664	2356	1187
665	2360	1183
666	2363	1179
667	2366	1176
668	2369	1172
669	2373	1168
670	2376	1165
671	2380	1161
672	2384	1158
673	2387	1154
674	2390	1151
675	2394	1147
676	2398	1144
677	2401	1140
678	2404	1136
679	2408	1133
680	2411	1129
681	2415	1126
682	2419	1122
683	2422	1119
684	2426	1115
685	2430	1112
686	2433	1108
687	2437	1105
688	2440	1101
689	2444	1098
690	2447	1094
691	2450	1090
692	2454	1087
693	2457	1083
694	2461	1080
695	2464	1076
696	2467	1072
697	2471	1069
698	2474	1065
699	2478	1062
700	2481	1058
701	2485	1055
702	2489	1051
703	2492	1048
704	2496	1044
705	2499	1040
706	2503	1037
707	2506	1033
708	2509	1030
709	2513	1026
710	2516	1022
711	2520	1019
712	2523	1015
713	2526	1012
714	2529	1008
715	2533	1004
716	2536	1001
717	2539	997
718	2543	993
719	2546	990
720	2549	986
721	2553	983
722	2556	979
723	2559	975
724	2563	972
725	2566	968
726	2570	965
727	2573	961
728	2576	957
729	2580	954
730	2583	950
731	2587	947
732	2590	943
733	2593	939
734	2597	936
735	2600	932
736	2604	929
737	2607	925
738	2610	921
739	2613	918
740	2617	914
741	2620	911
742	2623	907
743	2627	904
744	2630	900
745	2634	896
746	2637	893
747	2640	889
748	2643	885
749	2647	882
750	2650	878
751	2654	875
752	2657	871
753	2660	868
754	2663	864
755	2667	860
756	2671	857
757	2674	853
758	2677	850
759	2680	846
760	2684	843
761	2687	839
762	2691	835
763	2694	832
764	2697	828
765	2700	825
766	2704	821
767	2707	817
768	2710	814
769	2713	810
770	2717	807
771	2720	803
772	2723	799
773	2727	796
774	2730	792
775	2733	789
776	2737	785
777	2740	782
778	2744	778
779	2747	774
780	2751	771
781	2754	767
782	2758	764
783	2761	760
784	2765	757
785	2768	753
786	2771	750
787	2775	746
788	2778	743
789	2782	739
790	2785	736
791	2789	732
792	2792	729
793	2796	725
794	2800	722
795	2803	718
796	2806	714
797	2810	711
798	2813	707
799	2817	704
800	2820	700
801	2824	697
802	2828	693
803	2831	690
804	2834	686
805	2838	683
806	2842	679
807	2845	676
808	2849	672
809	2852	669
810	2855	665
811	2859	662
812	2863	658
813	2866	655
814	2870	651
815	2874	648
816	2877	644
817	2881	641
818	2884	637
819	2887	633
820	2891	630
821	2894	626
822	2898	623
823	2901	619
824	2905	616
825	2908	612
826	2912	609
827	2915	605
828	2919	602
829	2923	598
830	2926	595
831	2930	591
832	2933	588
833	2936	584
834	2940	581
835	2943	577
836	2947	573
837	2950	570
838	2953	566
839	2957	563
840	2960	559
841	2963	556
842	2967	552
843	2970	549
844	2973	545
845	2977	541
846	2980	538
847	2984	534
848	2987	531
849	2990	527
850	2994	524
851	2997	520
852	3001	517
853	3004	513
854	3007	510
855	3011	506
856	3014	502
857	3017	499
858	3020	495
859	3024	492
860	3027	488
861	3030	485
862	3034	481
863	3037	478
864	3040	474
865	3044	471
866	3047	467
867	3050	463
868	3054	460
869	3057	456
870	3060	453
871	3064	449
872	3067	446
873	3070	442
874	3074	439
875	3077	435
876	3081	432
877	3084	428
878	3087	425
879	3090	421
880	3094	417
881	3097	414
882	3100	410
883	3104	407
884	3107	403
885	3110	400
886	3114	396
887	3117	393
888	3121	389
889	3124	386
890	3127	382
891	3130	379
892	3134	375
893	3137	372
894	3140	368
895	3144	364
896	3147	361
897	3150	357
898	3154	354
899	3157	350
900	3160	347
901	3164	343
902	3167	340
903	3170	336
904	3174	333
905	3177	329
906	3180	326
907	3184	322
908	3187	319
909	3191	315
910	3194	312
911	3198	308
912	3201	305
913	3205	301
914	3208	298
915	3211	294
916	3215	291
917	3218	287
918	3222	284
919	3225	280
920	3229	276
921	3232	273
922	3235	269
923	3238	266
924	3241	262
925	3245	259
926	3248	255
927	3252	252
928	3255	248
929	3259	245
930	3262	241
931	3265	238
932	3269	234
933	3272	231
934	3276	227
935	3279	224
936	3282	220
937	3286	217
938	3289	213
939	3293	210
940	3296	206
941	3299	203
942	3303	199
943	3306	196
944	3310	192
945	3313	189
946	3316	185
947	3320	182
948	3323	178
949	3327	175
950	3330	171
951	3333	168
952	3337	164
953	3341	161
954	3344	157
955	3347	154
956	3350	150
957	3354	147
958	3357	143
959	3361	140
960	3364	136
961	3367	133
962	3371	129
963	3374	126
964	3378	122
965	3381	119
966	3384	115
967	3388	112
968	3391	108
969	3395	105
970	3398	101
971	3402	98
972	3405	94
973	3409	91
974	3412	87
975	3416	84
976	3419	80
977	3423	77
978	3426	73
979	3429	69
980	3433	66
981	3436	62
982	3439	59
983	3443	55
984	3446	52
985	3450	48
986	3453	45
987	3457	41
988	3460	38
989	3463	34
990	3466	31
991	3470	27
992	3473	24
993	3477	20
994	3480	17
995	3483	13
996	3486	10
997	3490	6
998	3493	3
999	3497	0
